HDP1A     -0.0100     0.4000
HDP1B     -0.0750     0.5500
HDP1C     -0.0650     0.9500
HDA1A     -0.0200     1.3400
HDA1C     -0.0460     0.9250
HDA1R5    -0.0450     1.3400
HDA2A     -0.0210     1.3400
HDA2C     -0.0460     0.9250
HDA2E     -0.0350     1.3400
HDA2R5    -0.0350     1.3000
HDA3A     -0.0240     1.3400
HDA3B     -0.0350     1.3400
HDA3C     -0.0460     0.9250
HDR5A     -0.0550     1.2500
HDR5B     -0.0870     1.1030
HDR5C     -0.0360     1.1800
HDR5D     -0.0350     0.7000
HDR5E     -0.1000     0.5500
HDR6A     -0.0300     1.0500
HDR6B     -0.0700     0.8000
HDR6C     -0.0700     0.8000
HDW       -0.0000     0.0000
HD2C1A    -0.0340     1.2099
CD2O1A    -0.0500     1.7750
CD2O1C    -0.1150     1.6800
CD2O1D    -0.1350     1.7500
CD2O2A    -0.2300     1.8000
CD2O3A    -0.0920     1.6500
CD2O3B    -0.0300     1.7750
CD2O4A    -0.0960     1.6730
CD2C1A    -0.0660     2.0700
CD2N1A    -0.0750     1.9000
CD2R5A    -0.0950     2.0700
CD2R5B    -0.0930     1.9800
CD2R5C    -0.0500     2.0900
CD2R5D    -0.0500     1.8000
CD2R5E    -0.1000     1.8500
CD2R5F    -0.1430     2.0920
CD2R6A    -0.0690     2.0900
CD2R6B    -0.1190     1.8700
CD2R6C    -0.1070     1.8690
CD2R6D    -0.0380     1.9000
CD2R6F    -0.0780     1.8220
CD2R6H    -0.1070     1.9700
CD2R6I    -0.1690     1.8000
CD2R6J    -0.1040     2.1290
CD30A     -0.0200     2.2000
CD30FA    -0.1200     2.1500
CD31A     -0.0220     2.2000 
CD31C     -0.0320     1.8000
CD31FA    -0.1200     2.1500
CD31FB    -0.1200     2.1500
CD31FC    -0.0600     2.0200
CD31G     -0.1200     2.1500
CD315A    -0.0320     2.0000
CD315B    -0.0320     2.0000
CD316A    -0.0320     2.0000
CD31HA    -0.0600     1.9000
CD31HB    -0.0600     1.9000
CD31HC    -0.0560     2.0100
CD32A     -0.0560     2.1000
CD32B     -0.0560     2.1000
CD32C     -0.0560     1.8100
CD32E     -0.0540     2.0200
CD32F     -0.1200     2.1500
CD325A    -0.0600     2.0200
CD325B    -0.0600     2.0200
CD326A    -0.0560     2.1000
CD326B    -0.0560     2.0100
CD33A     -0.0780     2.0400
CD33B     -0.1100     2.0400
CD33C     -0.0780     1.9400
CD33D     -0.0780     1.9400
CD33E     -0.1040     2.0000
ND2A1     -0.1600     1.8500
ND2A2     -0.2000     1.8300
ND2A3     -0.2500     1.9600
ND2B1     -0.1850     1.6590
ND2R5A    -0.0870     1.8610
ND2R5B    -0.0690     1.9560
ND2R5C    -0.1050     1.8500
ND2R5D    -0.2770     1.9950
ND2R5E    -0.0980     1.7480
ND2R5F    -0.2770     1.9950
ND2R6A    -0.0650     1.9800
ND2R6B    -0.1340     1.9140
ND2R6C    -0.1180     1.8440
ND2R6D    -0.1180     1.8440
ND2P1A    -0.0750     1.8000
ND3P2A    -0.2000     1.7400
ND3P3A    -0.2000     1.7400
ND3A2     -0.3680     1.9000
ND3A3     -0.2000     1.8000
OD2C1A    -0.2000     1.7800
OD2C1B    -0.2030     1.7740
OD2C1C    -0.1750     1.8750
OD2C1D    -0.2000     1.8500
OD2C2A    -0.2000     1.9100
OD2C2B    -0.1900     1.9700
OD2C2C    -0.0700     1.8650
OD2C3A    -0.1600     1.8800
OD2C3B    -0.1800     1.7500
OD30A     -0.0600     1.7400
OD30B     -0.1700     1.7700
OD30BN    -0.0200     1.7500
OD30BR    -0.0200     1.7500
OD30C     -0.1720     1.7000
OD30CL    -0.1220     1.7500
OD30D     -0.1700     1.7700
OD30E     -0.1600     1.8600
OD305A    -0.0800     1.7200
OD306A    -0.0800     1.7400
OD31A     -0.1500     1.7650
OD31B     -0.1500     1.7400
OD31C     -0.2500     1.5500
OD31D     -0.1500     1.7650
OD31E     -0.2000     1.7000
OD31F     -0.1720     1.7100
OD31G     -0.1500     1.7650
ODW       -0.21094325 1.78692899
ODW6      -0.1620     1.7950
SD31A     -0.4300     2.0500
SD31B     -0.4200     2.0200
SD30A     -0.3100     2.0500
SD30B     -0.3200     2.0000
SD2C2A    -0.2000     1.8500
SD2C2B    -0.1000     1.8500
PD1A      -0.2700     1.9000
PD1AN     -0.3200     1.9000
FDA1      -0.1750     1.6200
FDA3      -0.0800     1.6200
CLDA1     -0.3600     1.9400
CLDA3     -0.2700     1.9300
BRDA1     -0.4600     2.0300
IDA1      -0.5600     2.2000
FDR1      -0.1100     1.6500
CLDR1     -0.2900     1.9400
BRDR1     -0.4000     2.0400
IDR1      -0.5700     2.1800
LID       -0.03000    1.1000000
SODD      -0.03151    1.4616800
POTD      -0.1419265  1.6866521
RBD       -0.2730669  1.7855083
CSD       -0.2766036  2.0238218
FAD       -0.0026181  2.4622406
CLAD      -0.0719737  2.4811139
BRAD      -0.0823440  2.6262883
IAD       -0.2084343  2.7579694
BAD       -0.6000    1.5717385
CALD      -0.2100    1.2708552
MAGD      -0.0500    1.1264156
SRD       -0.3400    1.3059400
ZND       -0.2500    0.9349678
LPD       -0.0000    0.0100
LPDW      -0.0000    0.0100
LPDO1     -0.0000    0.0100
LPDNA1    -0.0000    0.0100
LPR       -0.1000    2.0500
DRUD      -0.0000    0.0100
DOH2      -0.0000    0.0100
DF2       -0.0000    0.0100
DCL2      -0.0000    0.0100
DCL3      -0.0000    0.0100
DBR2      -0.0000    0.0100
DI2       -0.0000    0.0100
DUM       -0.0000    0.0100
XED       -0.02127   1.4800
NED       -0.0860    1.5300
